68 36 59 -430 
167 244 8 190 
-225 -167 275 -150 
302 -57 155 157 
302 -62 -303 157 
302 -62 -303 157 
167 244 8 191 
-390 -20 -377 15 
202 -121 394 43 
167 227 4 273 
313 239 155 110 
213 -463 -197 -140 
33 -267 535 -152 
105 -541 126 -269 
393 7 213 128 
-224 239 150 273 
-389 91 -424 -113 
30 -335 535 -152 
57 -647 -50 221 
-509 239 157 114 
202 -121 587 43 
-509 239 157 114 
539 242 8 191 
167 246 8 -475 
54 -56 -736 -210 
-446 70 -397 -205 
-291 -157 -624 -153 
-446 62 -397 -205 
-446 62 -397 -205 
-295 -143 213 444 
431 -203 69 -383 
-502 239 157 126 
-502 239 157 126 
68 243 281 531 
331 0 215 -421 
-291 -156 -630 -153 
-109 -954 -14 -139 
534 -249 185 -152 
204 -130 593 126 
393 506 213 128 
331 8 213 -438 
331 8 213 -438 
-141 -542 -387 -233 
-141 -542 -387 -233 
534 -269 185 -152 
534 -269 185 -152 
213 -494 -201 -421 
221 -451 151 273 
-62 269 -205 582 
-142 -538 -395 -230 
-287 -139 293 444 
331 17 -427 -373 
-62 269 -205 618 
8 -93 512 534 
8 -93 512 534 
4 -93 512 531 
-142 -539 -395 -235 
331 8 -427 -401 
331 8 -427 -401 
534 -469 -210 -152 
8 -102 512 532 
441 470 -218 204 
-142 -539 -395 -236 
-708 -130 38 380 
-703 -130 45 380 
-285 -529 -196 359 
833 79 -228 19 
541 694 179 71 
-141 -542 -395 -236 
-141 -542 -395 -236 
-504 259 -284 -371 
-549 261 -283 -325 
3 -705 270 259 
430 462 83 -390 
105 -143 275 865 
-80 935 -276 43 
628 -227 -200 325 
3 -705 270 259 
-141 -542 -392 -267 
-389 -702 224 -113 
-134 97 -433 732 
643 -218 43 -489 
-89 882 -299 113 
105 579 138 875 
105 579 138 875 
-518 694 178 71 
8 492 485 534 
105 579 138 875 
105 579 138 875 
-141 -542 -387 -422 
-59 -914 393 -126 
-92 -203 973 129 
-118 -375 -979 -73 
-118 -375 -979 -73 
-389 -551 -394 -238 
-59 -914 393 -128 
-446 -539 -397 -197 
-141 -536 -395 511 
-71 -946 393 -126 
-92 -203 973 142 
