34 128 78 -97 
-97 123 -119 -103 
34 122 82 9 
14 125 -47 -7 
-101 126 -40 -103 
-98 126 -53 6 
20 124 -45 20 
34 122 -54 20 
32 122 82 5 
28 123 -119 -95 
-86 123 -48 -93 
22 123 -48 6 
-103 124 -47 -100 
-99 125 -53 5 
32 122 -54 5 
5 125 -60 9 
5 127 -119 -95 
14 122 -48 5 
28 122 81 5 
-86 123 -48 -95 
-86 123 75 9 
22 125 -80 -9 
13 124 76 -9 
4 123 -47 6 
22 123 -79 8 
-82 123 -48 -95 
21 123 -79 7 
5 123 -47 6 
5 123 40 6 
-100 122 -48 8 
19 123 82 8 
15 122 74 3 
33 122 75 9 
33 127 80 -95 
-86 122 -33 5 
21 125 -80 -9 
21 123 77 -9 
18 123 -31 -99 
34 128 77 -97 
17 122 -31 -96 
13 124 80 -9 
33 122 75 -9 
13 122 -48 5 
-91 122 75 0 
-91 123 -44 0 
-77 124 80 -95 
19 122 82 4 
19 123 76 -8 
5 123 38 6 
-86 123 -48 4 
19 122 -47 6 
-83 122 -48 5 
19 122 83 -7 
33 121 75 4 
13 121 75 -97 
17 124 48 2 
22 123 -48 -9 
-86 123 80 -94 
12 123 73 -10 
33 121 80 9 
-86 123 -46 10 
13 122 81 8 
12 122 81 8 
19 122 -47 4 
